x 	 y 
-0.521823520390605	-0.5417181882059111
-0.5301662060523997	-0.5362386930699352
-0.5371687749572545	-0.5291259997168397
-0.542520141705866	-0.5207004221520655
-0.5459841929189364	-0.5113393892861475
-0.5474097354491811	-0.5014602436888217
-0.546736574851375	-0.4915014463451118
-0.5439975060577362	-0.4819030407107533
-0.5393161824330355	-0.47308724835142446
-0.5329010115984796	-0.4654400485659422
-0.5250353986241687	-0.4592945373669366
-0.5160648120432642	-0.45491677034644307
-0.5063812792295685	-0.45249467401488513
-0.4964060197966428	-0.4521304670538466
-0.48657099500900264	-0.45383687331607026
-0.47730018545537567	-0.4575372396405957
-0.4689914077118159	-0.46306950114043693
-0.4619994442765611	-0.4701937719636816
-0.4566211920337859	-0.47860318758984915
-0.45308343658707895	-0.48793749174423007
-0.4515337378308596	-0.4977987522654803
-0.45203477184151364	-0.5077685098476891
-0.45456232194883756	-0.5174256142882862
-0.4590069544182522	-0.5263639861028925
-0.4651792583116409	-0.5342095570995615
-0.4728183813385206	-0.5406356903456706
-0.4816034598909318	-0.5453764552432234
-0.49116742725863893	-0.5482372333565178
-0.5011125935824795	-0.5491022504789467
-0.5110273276555746	-0.5479387647393626
-0.5205031362513222	-0.5447977834265416
-0.5291514320134264	-0.5398113265406655
-0.5366193056040394	-0.5331863968067259
-0.5426036700907177	-0.5251959482532742
-0.5468632226885936	-0.5161672632505062
-0.5492277672383516	-0.5064682466265216
-0.5496045557038245	-0.4964922215459779
-0.5479814334619849	-0.48664186266586235
-0.5444267058395292	-0.47731292619372784
-0.5390857767194529	-0.4688784335020772
-0.5321747387074706	-0.46167393563917114
-0.5239712132508558	-0.4559844322039845
-0.5148028437042881	-0.45203344234337056
-0.5050339307905917	-0.44997463160930645
-0.4950507651874971	-0.44988629024715
-0.4852462539824182	-0.4517688407919221
-0.4760044553531008	-0.45554543050438306
-0.4676856289230625	-0.46106554211494455
-0.4606123786482825	-0.46811143935300437
-0.4550574125646315	-0.47640715628942626
-0.45123337182765383	-0.4856296455862671
-0.44928509345850753	-0.4954216236735102
-0.44928457086691265	-0.5054055932565841
-0.45122876772499804	-0.5151984871750193
-0.4550403284927439	-0.5244263633886437
-0.4605711172525327	-0.5327385887911416
-0.4676084097634967	-0.5398209788169152
-0.4758834657597485	-0.5454074087952804
-0.4850821230115567	-0.5492894793842625
-0.4948569844994302	-0.5513238992534711
-0.5048407175124392	-0.5514373400788619
-0.514659950138606	-0.5496286181319583
-0.5239492372660093	-0.5459681593858321
-0.5323645748840506	-0.5405948071892561
-0.5395959674388893	-0.533710129373565
-0.5453785968282558	-0.5255704716120515
-0.5495022012639512	-0.5164770827951428
-0.5518183450988708	-0.5067647034569431
-0.5522453438033572	-0.4967890578085537
-0.5507706982810645	-0.4869137222563292
-0.5474509861707038	-0.4774968576376498
-0.5424092511878225	-0.4688782887002706
-0.53583002151794	-0.46136739315395736
-0.5279521715952934	-0.4552322251277011
